category,full_name,Aliases
Criminal Enterprise Investigations,DARASY S. CHHIM,"['“Mystickal”', '""Mystikal""', '“Rizzus""', '""Russel""', '""Crusty Rusty""']"
Criminal Enterprise Investigations,EDWIN ERNESTO CEDILLOS-RODRIGUEZ,"['""Renuente de Abriles Dangers""']"
Criminal Enterprise Investigations,SALOME FLORES APODACA,"['Fino Flores Apodaca', 'Pelon Flores Apodaca', '""Pelon""', '""Fino""']"
Criminal Enterprise Investigations,JESUS ALEXANDRO SANCHEZ FELIX,"['Alejandro Fernandez Felix', '""El Russo""', '""El Ruso""', '""Alex""', 'Juan Jose Ponce Felix', 'Alex Sanchez', '""Ruso""', '""Ginete""', '""Alejandro""', 'Jesus Alejandro Sanchez', 'Jesus Sanchez Felix']"
